
==========

Using device:  cuda
Model: dino classifier
Learning Rate: 0.001
Loading model
dinov2 Loaded
Generating Embeddings from dinov2

==========Starting Training========

Step 0/5000  train_loss = 3.5036  val_loss = 3.4994
Step 100/5000  train_loss = 0.8430  val_loss = 0.8419
Step 200/5000  train_loss = 0.7224  val_loss = 0.7126
Step 300/5000  train_loss = 0.6386  val_loss = 0.6384
Step 400/5000  train_loss = 0.5804  val_loss = 0.5763
Step 500/5000  train_loss = 0.5225  val_loss = 0.5262
Step 600/5000  train_loss = 0.4647  val_loss = 0.4666
Step 700/5000  train_loss = 0.4245  val_loss = 0.4273
Step 800/5000  train_loss = 0.3791  val_loss = 0.3830
Step 900/5000  train_loss = 0.3426  val_loss = 0.3442
Step 1000/5000  train_loss = 0.2968  val_loss = 0.2959
Step 1100/5000  train_loss = 0.2800  val_loss = 0.2750
Step 1200/5000  train_loss = 0.2431  val_loss = 0.2420
Step 1300/5000  train_loss = 0.2158  val_loss = 0.2148
Step 1400/5000  train_loss = 0.1885  val_loss = 0.1826
Step 1500/5000  train_loss = 0.1708  val_loss = 0.1682
Step 1600/5000  train_loss = 0.1520  val_loss = 0.1516
Step 1700/5000  train_loss = 0.1365  val_loss = 0.1353
Step 1800/5000  train_loss = 0.1212  val_loss = 0.1197
Step 1900/5000  train_loss = 0.1056  val_loss = 0.1063
Step 2000/5000  train_loss = 0.0872  val_loss = 0.0854
Step 2100/5000  train_loss = 0.0773  val_loss = 0.0789
Step 2200/5000  train_loss = 0.0770  val_loss = 0.0754
Step 2300/5000  train_loss = 0.0670  val_loss = 0.0685
Step 2400/5000  train_loss = 0.0539  val_loss = 0.0512
Step 2500/5000  train_loss = 0.0550  val_loss = 0.0541
Step 2600/5000  train_loss = 0.0477  val_loss = 0.0474
Step 2700/5000  train_loss = 0.0435  val_loss = 0.0419
Step 2800/5000  train_loss = 0.0391  val_loss = 0.0405
Step 2900/5000  train_loss = 0.0330  val_loss = 0.0330
Step 3000/5000  train_loss = 0.0349  val_loss = 0.0363
Step 3100/5000  train_loss = 0.0283  val_loss = 0.0292
Step 3200/5000  train_loss = 0.0261  val_loss = 0.0255
Step 3300/5000  train_loss = 0.0227  val_loss = 0.0230
Step 3400/5000  train_loss = 0.0169  val_loss = 0.0172
Step 3500/5000  train_loss = 0.0251  val_loss = 0.0251
Step 3600/5000  train_loss = 0.0191  val_loss = 0.0218
Step 3700/5000  train_loss = 0.0237  val_loss = 0.0253
Step 3800/5000  train_loss = 0.0291  val_loss = 0.0284
Step 3900/5000  train_loss = 0.0332  val_loss = 0.0339
Step 4000/5000  train_loss = 0.0455  val_loss = 0.0498
Step 4100/5000  train_loss = 0.0583  val_loss = 0.0575
Step 4200/5000  train_loss = 0.0714  val_loss = 0.0739
Step 4300/5000  train_loss = 0.0814  val_loss = 0.0794
Step 4400/5000  train_loss = 0.0843  val_loss = 0.0828
Step 4500/5000  train_loss = 0.0685  val_loss = 0.0694
Step 4600/5000  train_loss = 0.0685  val_loss = 0.0676
Step 4700/5000  train_loss = 0.0566  val_loss = 0.0550
Step 4800/5000  train_loss = 0.0447  val_loss = 0.0444
Step 4900/5000  train_loss = 0.0435  val_loss = 0.0432

========Testing on validation set==========

